=== 10-run summary ===
Run totals: [1681, 1681, 1681, 1681, 1681, 1681, 1681, 1681, 1681, 1681]
Average prelim battles per run: 1681.0

=== Overall Top 50 by avg wins ===
Y4: avg wins = 466.30, avg battles = 656.00, win rate = 71.1%
Y2: avg wins = 388.10, avg battles = 656.00, win rate = 59.2%
Y11: avg wins = 331.60, avg battles = 574.00, win rate = 57.8%
Y10: avg wins = 319.80, avg battles = 492.00, win rate = 65.0%
Y3: avg wins = 298.60, avg battles = 492.00, win rate = 60.7%
Y1: avg wins = 293.30, avg battles = 574.00, win rate = 51.1%
Y9: avg wins = 289.60, avg battles = 492.00, win rate = 58.9%
Y12: avg wins = 282.10, avg battles = 492.00, win rate = 57.3%
Y6: avg wins = 199.20, avg battles = 574.00, win rate = 34.7%
Y7: avg wins = 197.60, avg battles = 656.00, win rate = 30.1%
Y5: avg wins = 178.10, avg battles = 492.00, win rate = 36.2%
Y8: avg wins = 110.80, avg battles = 574.00, win rate = 19.3%

=== 1v1 Top 50 by avg wins ===
Y12: avg wins = 62.20, avg battles = 82.00, win rate = 75.9%
Y9: avg wins = 59.20, avg battles = 82.00, win rate = 72.2%
Y3: avg wins = 54.20, avg battles = 82.00, win rate = 66.1%
Y1: avg wins = 52.20, avg battles = 82.00, win rate = 63.7%
Y10: avg wins = 49.60, avg battles = 82.00, win rate = 60.5%
Y11: avg wins = 49.30, avg battles = 82.00, win rate = 60.1%
Y4: avg wins = 47.90, avg battles = 82.00, win rate = 58.4%
Y5: avg wins = 44.30, avg battles = 82.00, win rate = 54.0%
Y2: avg wins = 42.50, avg battles = 82.00, win rate = 51.8%
Y6: avg wins = 16.90, avg battles = 82.00, win rate = 20.6%
Y7: avg wins = 13.70, avg battles = 82.00, win rate = 16.7%

=== 2v2 Top 50 by avg wins ===
Y4: avg wins = 179.20, avg battles = 246.00, win rate = 72.8%
Y2: avg wins = 174.30, avg battles = 246.00, win rate = 70.9%
Y1: avg wins = 154.40, avg battles = 246.00, win rate = 62.8%
Y11: avg wins = 142.40, avg battles = 246.00, win rate = 57.9%
Y9: avg wins = 107.10, avg battles = 164.00, win rate = 65.3%
Y10: avg wins = 104.20, avg battles = 164.00, win rate = 63.5%
Y7: avg wins = 97.40, avg battles = 328.00, win rate = 29.7%
Y6: avg wins = 92.90, avg battles = 246.00, win rate = 37.8%
Y3: avg wins = 92.50, avg battles = 164.00, win rate = 56.4%
Y12: avg wins = 75.80, avg battles = 164.00, win rate = 46.2%
Y8: avg wins = 58.70, avg battles = 246.00, win rate = 23.9%
Y5: avg wins = 33.10, avg battles = 164.00, win rate = 20.2%

=== 3v3 Top 50 by avg wins ===
Y4: avg wins = 239.20, avg battles = 328.00, win rate = 72.9%
Y2: avg wins = 171.30, avg battles = 328.00, win rate = 52.2%
Y10: avg wins = 166.00, avg battles = 246.00, win rate = 67.5%
Y3: avg wins = 151.90, avg battles = 246.00, win rate = 61.7%
Y12: avg wins = 144.10, avg battles = 246.00, win rate = 58.6%
Y11: avg wins = 139.90, avg battles = 246.00, win rate = 56.9%
Y9: avg wins = 123.30, avg battles = 246.00, win rate = 50.1%
Y5: avg wins = 100.70, avg battles = 246.00, win rate = 40.9%
Y6: avg wins = 89.40, avg battles = 246.00, win rate = 36.3%
Y1: avg wins = 86.70, avg battles = 246.00, win rate = 35.2%
Y7: avg wins = 86.50, avg battles = 246.00, win rate = 35.2%
Y8: avg wins = 52.10, avg battles = 246.00, win rate = 21.2%
