,炎焱,春晌,蓝,斯瑞提卡,达尼厄斯,灵牛,星闪,血天使,雪人,环花暖,比哈米,木落
炎焱,—,0.7000,0.7400,0.4000,0.8000,0.8400,0.8200,0.7600,1.0000,1.0000,1.0000,0.5000
春晌,0.3000,—,0.5200,0.4800,0.6000,0.5800,0.4400,0.2000,0.9400,1.0000,1.0000,0.3800
蓝,0.2600,0.4800,—,0.4000,0.5200,0.8000,0.6400,0.2400,1.0000,1.0000,1.0000,0.1400
斯瑞提卡,0.6000,0.5200,0.6000,—,0.7400,0.7400,0.6000,0.0600,1.0000,0.9600,1.0000,0.2600
达尼厄斯,0.2000,0.4000,0.4800,0.2600,—,0.5400,0.3200,0.1200,0.9400,1.0000,1.0000,0.2600
灵牛,0.1600,0.4200,0.2000,0.2600,0.4600,—,0.3800,0.3800,1.0000,1.0000,1.0000,0.1800
星闪,0.1800,0.5600,0.3600,0.4000,0.6800,0.6200,—,0.4600,0.9600,1.0000,1.0000,0.3000
血天使,0.2400,0.8000,0.7600,0.9400,0.8800,0.6200,0.5400,—,0.9600,1.0000,1.0000,0.5800
雪人,0.0000,0.0600,0.0000,0.0000,0.0600,0.0000,0.0400,0.0400,—,0.6200,1.0000,0.0600
环花暖,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.3800,—,1.0000,0.0000
比哈米,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,—,0.0000
木落,0.5000,0.6200,0.8600,0.7400,0.7400,0.8200,0.7000,0.4200,0.9400,1.0000,1.0000,—
